Document_Index,Assigned_Topic,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20,Topic_21,Topic_22,Topic_23,Topic_24,Topic_25,Topic_26,Topic_27,Topic_28
10,1,0.0,0.9999999991379456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,3,0.0,0.0,0.0,0.9999999990156507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,3,0.028604917840142824,0.04838260800593152,0.020562368464920766,0.24625353836747477,0.005955058402069651,0.0241400432260969,0.014275128423885543,0.03238904220042075,0.01713205531105018,0.01585728256216859,0.022846396806179375,0.012237134307531006,0.007597713554267867,0.008127012754084995,0.013298929834476251,0.006422233716695237,0.0038683517063141572,0.007581599418984663,0.0060601794121298656,0.006616543498453708,0.004268891298635471,0.005460867777824757,0.006190281649125167,0.00513627547049931,0.003314960213275781,0.00598677436162075,0.000900546429148361,0.001718694019146791,0.0031256819111038147
13,-1,0.275391104376549,3.788276964476939e-79,3.37326287718631e-103,0.058482817160097025,0.08847759723334865,0.06339780480965593,1.771367413796937e-79,3.1954740340463414e-79,2.2592197284478356e-79,0.09544698876339189,4.1651582940698643e-79,0.10934418327501375,1.1792120759391107e-79,0.030139027617748428,2.6522872406614505e-103,1.2378571031494009e-103,1.3426740632048798e-105,6.967871214040312e-80,0.030116250548456458,1.60003814820017e-79,0.03220975323787312,0.06307369633608409,0.04495064288729486,0.018119166455281138,0.03152549153894264,2.454651521872974e-97,9.430406429620347e-109,0.016232331590909175,4.225425678284657e-80
14,0,0.9196712097317339,1.0103391923642027e-09,6.743188968472759e-10,2.3466405096434765e-09,3.7403738195161586e-10,3.4749102274310867e-09,4.0703378580478857e-10,6.633988100060053e-10,5.13456080373394e-10,3.5918192586744254e-09,8.450969467637441e-10,1.4101336472452243e-08,2.3883219495663836e-10,3.7358600693446555e-09,5.32263475016284e-10,3.00313818320785e-10,1.3090932813383383e-10,1.4887519298250698e-10,5.231597333772355e-10,2.5958279040832816e-10,3.6939165020226763e-09,2.7999365895307848e-09,6.021821139633117e-10,5.590269265405954e-10,3.1715714605910393e-10,1.172813747112173e-10,1.3556569403487767e-11,2.353477781188393e-09,8.195874515291172e-11
15,0,0.1102480941514008,0.021047874525173097,0.01724796990902604,0.032097793515140374,0.006732042871581736,0.0239944373380553,0.008593589781131486,0.013412420560656542,0.010368772637162389,0.02408484835005289,0.01733850876264115,0.03138840430246741,0.004916644871558636,0.007848098726150192,0.013390418564212272,0.00784857969486579,0.0037887547315022573,0.0029925128303134284,0.007067990773027267,0.0051437094055262,0.006729947763320171,0.010270763209006058,0.006906696466460693,0.004677318536235532,0.0045365890947319295,0.0031098006815844176,0.0008048023635890916,0.0042200317410311045,0.0016781617705764688
16,-1,0.1974220370320136,1.1910650918706188e-70,2.7561154051993567e-71,1.1975255904494332e-55,7.289696387049356e-71,0.010439272362735454,4.894393707192068e-71,8.735041494012685e-71,6.814462543094722e-71,0.010006455410551505,1.1210334906867869e-70,0.061645093342670376,3.1806436670788194e-71,0.015135854136122565,2.1376645351257813e-71,1.2438718146898414e-71,3.592035376200928e-72,1.962709310575745e-71,1.0448799330664307e-68,3.3616969995597774e-71,0.015525279025859293,0.026563216283728125,1.4930060383993587e-68,7.423106993282298e-56,2.4873916858511353e-70,7.166763904954139e-72,1.0704640611884874e-73,0.009539206331880542,1.0826977461540137e-71
17,12,0.02871677245747761,0.028110449667391894,0.01909502048202455,0.036637838046815016,0.00659471354187014,0.02505152299463777,0.014771817167437938,0.019846011962498203,0.014271331890724865,0.014995965325035873,0.05145745176067802,0.013164156212292742,0.05842017340275442,0.005746533061733968,0.013715545122664758,0.007344855912629404,0.0036355668890740056,0.004349921890529402,0.0052535959885671125,0.006872518767550665,0.003756471554919926,0.005958559273779624,0.005342420299023541,0.005469723333380829,0.003457530404585076,0.005362971386889034,0.0011453572112256297,0.0016537712645395596,0.003355187110396452
18,1,0.0,0.9999999991864171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,3,4.907093873015151e-12,2.144539795835543e-12,1.773728568359532e-12,0.9309162075588142,6.740414053273243e-13,2.3918323934201e-12,9.58274812194911e-13,1.377616602293742e-12,1.043115944243294e-12,1.9166638550688556e-12,1.8921146900888657e-12,1.6511657368620722e-12,5.26285552316813e-13,5.907186791490238e-13,1.4393880542212241e-12,8.472307675668117e-13,3.7285189812759667e-13,2.998982827122261e-13,5.997241927171963e-13,5.303122330699442e-13,4.851798574341089e-13,8.958624265404168e-13,5.859887939652569e-13,4.553636971782491e-13,4.2616092261735325e-13,3.368153587329512e-13,8.884750160956434e-14,2.3371788380426833e-13,1.8331651400511197e-13
20,2,0.01609282092316808,0.018044930282752426,0.8362163530774609,0.016988062980820937,0.003175521039802455,0.014647411732117062,0.005552264016546435,0.010432019655497157,0.0061283776016063845,0.007622457773851163,0.009714922516089849,0.006324049149353106,0.0028497818104041813,0.003103158387224079,0.010767683609658062,0.004614473058994264,0.002139928506704799,0.0021922327991778356,0.0029780669115485317,0.0035979962359021086,0.0019169306610223487,0.003266282215909743,0.0027514698885337413,0.002011345616391615,0.00236858602601806,0.0019704219808852233,0.0004899060275614493,0.0009722176437161815,0.0010703267787569872
21,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999999998687109,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0,0.2752243757762837,0.02341973184328489,0.020039914616429972,0.03354303497282399,0.007303251427478159,0.025906726283006717,0.009293058758155389,0.014969810693436097,0.011018868996349174,0.022643715764500423,0.01818824713638113,0.021774861761244484,0.005207924540192262,0.0076392120538183814,0.015019614203406266,0.008237627954304653,0.004151485997215395,0.0033205130641872933,0.008066600369630878,0.005815326674193459,0.00618256442584058,0.009987455348906429,0.0072036289166427965,0.004674757054661492,0.005067504559801987,0.003424661758214067,0.0010223455745059639,0.008060070771395929,0.0018097678371561436
